"Gene_name" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "GENENAME" "SYMBOL" "Biotype"
"ENSMUSG00000000340" 1.23900999036103 2.05251454346747 2.84515530014395 0.721406857250856 0.470659228845905 0.996455050515126 "dihydrolipoamide branched chain transacylase E2" "Dbt" "protein_coding"
"ENSMUSG00000000531" 1.54521438004274 2.42910497956469 2.65832015933917 0.913774426692287 0.360835386704149 0.996455050515126 "GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein" "Grasp" "protein_coding"
"ENSMUSG00000001227" 0.753104484838502 3.09027319427412 3.57857162925032 0.863549347179481 0.387835499963324 0.996455050515126 "sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B" "Sema6b" "protein_coding"
"ENSMUSG00000001366" 0.732415899312671 3.05386375402266 3.94786648583353 0.773547880856938 0.439198203466571 0.996455050515126 "f-box protein 9" "Fbxo9" "protein_coding"
"ENSMUSG00000001569" 1.25760777290929 2.08117643326429 2.8083117050084 0.741077434371932 0.458646490925474 0.996455050515126 "nucleolar protein with MIF4G domain 1" "Nom1" "protein_coding"
"ENSMUSG00000001700" 0.773793070364333 3.12457415900766 3.54390571219154 0.88167530762985 0.377952417686911 0.996455050515126 "GRAM domain containing 3" "Gramd3" "protein_coding"
"ENSMUSG00000002105" 1.28275892209861 3.85476757513058 2.90564975642168 1.32664563807503 0.18462593144895 0.996455050515126 "solute carrier family 39 (metal ion transporter), member 13" "Slc39a13" "protein_coding"
"ENSMUSG00000002307" 1.28275892209861 3.85476757513058 2.90564975642168 1.32664563807503 0.18462593144895 0.996455050515126 "Fas death domain-associated protein" "Daxx" "protein_coding"
"ENSMUSG00000002845" 1.27829635843512 2.1056166621185 2.82055394639813 0.746525931477889 0.455349772908562 0.996455050515126 "transmembrane protein 39a" "Tmem39a" "protein_coding"
"ENSMUSG00000002846" 0.997243117942726 3.49655040107782 3.21545122108517 1.08742137904296 0.276850627101072 0.996455050515126 "translocase of inner mitochondrial membrane domain containing 1" "Timmdc1" "protein_coding"
"ENSMUSG00000002871" 0.753104484838502 3.09027319427412 3.57857162925032 0.863549347179481 0.387835499963324 0.996455050515126 "transmembrane protein, adipocyte asscociated 1" "Tpra1" "protein_coding"
"ENSMUSG00000002910" 0.773793070364333 3.12457415900766 3.54390571219154 0.88167530762985 0.377952417686911 0.996455050515126 "arrestin domain containing 2" "Arrdc2" "protein_coding"
